1,Tongjing,31.2823103,121.5045889
2,Rimbo,59.7394596,18.3595793
3,Xinqiao,31.058765,121.315718
4,Santa Rosa,-31.3950849,-64.2390612
5,Comandante Luis Piedra Buena,-34.5154006,-58.5284973
6,Alcaldedíaz,9.1169815,-79.5715822
7,Zaña,-6.90821,-79.5772008
8,Yeosu,34.7603737,127.6622221
9,Białołeka,52.3366443,20.941429
10,Battambang,13.09573,103.2022055
11,Piltown,53.6920618,-6.3025448
12,Cochabamba,-9.483333,-77.866667
13,Nice,43.6953508,7.2559678
14,Zhen’an,33.423357,109.152893
15,Druzhba,52.0402452,33.9293828
16,El Fahs,36.3778012,9.9101915
17,Luchegorsk,46.4457008,134.3078003
18,Rogóźno,53.5484541,18.9455238
19,San Luis,20.1871897,-75.8475853
20,Cibangban Girang,-6.9569,106.428
21,Quivilla,-9.548008,-76.66935
22,Otofuke,42.99167,143.20028
23,Manukaka,-9.5972,119.5876
24,Budzów,49.788203,19.70598
25,Wenfeng Zhen,24.410255,117.416058
26,Santiago,14.5672317,121.0298199
27,Las Tunas,20.957938,-76.9527836
28,Kaiapoi,-43.417615,172.6519706
29,Nicoya,10.142762,-85.454983
30,Portland,45.5155832,-122.6788535
31,Isla Pucú,-25.3088443,-56.9014072
32,Akademicheskoe,52.2348348,104.2973676
33,Promissão,-21.5354088,-49.8569266
34,Guanting,35.87616,102.801062
35,Pohang,36.0190178,129.3434808
36,Lewolen,-8.3474,123.2104
37,Oslo,59.9451756,10.6392492
38,Övertorneå,66.3887667,23.3361439
39,Mirandela,41.4853545,-7.1808711
40,Jönköping,57.778556,14.1619341
41,Parengan,-7.0510263,111.8330106
42,Klagen,-7.541449,111.8956112
43,Mozi,34.289806,105.037225
44,Sanguansi,29.423385,110.662033
45,Mingzhong,30.9457638,121.4371451
46,Baloc,15.6432256,120.8898149
47,Gatesville,31.4805866,-97.7347956
48,Kropotkin,45.4289,40.5244001
49,Ginatilan,9.5700231,123.312382
50,Vatutino,59.3887625,30.2867644
